assigner_id,process,reference,replace_existing,actor_id_type,actor_id,role_type,role_name,classification,grant_type,role_category,read_only,begin_time,end_time,contract_type,jurisdiction,case_id,region,user_id_1,time_1,comment_1,user_id_2,time_2,comment_2
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij1,testingabcdefghij1,false,IDAM,CCA0E015-7FF4-9E90-3E6F-52C10BEA2A74,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-01T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij2,testingabcdefghij2,false,IDAM,5B5E12E0-5F65-39D8-1906-42447D853AC5,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-02T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij3,testingabcdefghij3,false,IDAM,4882DC2E-3CF9-2E5A-85FC-BE367CF83695,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-03T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij4,testingabcdefghij4,false,IDAM,D52B448F-5D33-10FC-4104-B96C14509EFB,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-04T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij5,testingabcdefghij5,false,IDAM,67DF0966-8C0E-5D4A-2C7D-5285C730A32C,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-05T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij6,testingabcdefghij6,false,IDAM,A92D46B4-73A9-582B-49F3-FA5D61B97B5E,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-06T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij7,testingabcdefghij7,false,IDAM,0EAC9F92-3B41-85CB-08A6-AD106F293296,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-07T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij8,testingabcdefghij8,false,IDAM,2AA23539-90C5-74EC-4196-CFACC73917FE,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-08T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij9,testingabcdefghij9,false,IDAM,88590EC7-3D88-13D7-4883-169C1514410E,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-09T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
ff0d2548-3110-4dc2-957a-a8d3e7ccfc1b,testingabcdefghij10,testingabcdefghij10,false,IDAM,6A8749BC-970C-4B16-910C-A8E51C5888BA,CASE,judge,PUBLIC,SPECIFIC,JUDICIAL,false,2020-10-10T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,1614347552343630,north-east,S-042,2020-01-01T00:00,Need Access to case number 1614347552343635 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
