assigner_id,process,reference,replace_existing,actor_id_type,actor_id,role_type,role_name,classification,grant_type,role_category,read_only,begin_time,end_time,contract_type,jurisdiction,region,user_id_1,time_1,comment_1,user_id_2,time_2,comment_2
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445601,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-01T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445602,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-02T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445603,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-03T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445604,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-04T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445605,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-05T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445606,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-06T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445607,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-07T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445608,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-08T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445609,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-09T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445610,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-10T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445611,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-11T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445612,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-12T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
84d92c5f-5409-477d-b22d-15d54882ecfe,S-052,S-052,false,IDAM,123e4567-e89b-42d3-a456-556642445613,ORGANISATION,judge,PUBLIC,STANDARD,JUDICIAL,false,2020-10-13T00:00+01:00,2021-10-01T00:00+01:00,SALARIED,divorce,north-east,S-042,2020-01-01T00:00,Need Access to case number 1607103938250138 for a year,HMCTS,2020-01-02T00:00,Access granted for 3 months
